abbreviation,name
AND,Andromeda
ANT,Antlia
APS,Apus
AQR,Aquarius
AQL,Aquila
ARA,Ara
ARI,Aries
AUR,Auriga
BOO,Bootes
CAE,Caelum
CAM,Camelopardalis
CNC,Cancer
CVN,Canes Venatici
CMA,Canis Major
CMI,Canis Minor
CAP,Capricornus
CAR,Carina
CAS,Cassiopeia
CEN,Centaurus
CEP,Cepheus
CET,Cetus
CHA,Chamaeleon
CIR,Circinus
COL,Columba
COM,Coma Berenices
CRA,Corona Australis
CRB,Corona Borealis
CRT,Crater
CRU,Crux
CRV,Corvus
CYG,Cygnus
DEL,Delphinus
DOR,Dorado
DRA,Draco
EQU,Equuleus
ERI,Eridanus
FOR,Fornax
GEM,Gemini
GRU,Grus
HER,Hercules
HOR,Horologium
HYA,Hydra
HYI,Hydrus
IND,Indus
LAC,Lacerta
LEO,Leo
LEP,Lepus
LIB,Libra
LMI,Leo Minor
LUP,Lupus
LYN,Lynx
LYR,Lyra
MEN,Mensa
MIC,Microscopium
MON,Monoceros
MUS,Musca
NOR,Norma
OCT,Octans
OPH,Ophiuchus
ORI,Orion
PAV,Pavo
PEG,Pegasus
PER,Perseus
PHE,Phoenix
PIC,Pictor
PSA,Piscis Austrinus
PSC,Pisces
PUP,Puppis
PYX,Pyxis
RET,Reticulum
SGE,Sagitta
SGR,Sagittarius
SCO,Scorpius
SCL,Sculptor
SCT,Scutum
SERCP,Serpens Caput
SERCD,Serpens Cauda
SEX,Sextans
TAU,Taurus
TEL,Telescopium
TRA,Triangulum Australe
TRI,Triangulum
TUC,Tucana
UMA,Ursa Major
UMI,Ursa Minor
VEL,Velorum
VIR,Virgo
VOL,Volans
VUL,Vulpecula
